name,num,rank,score
幸福终点站,240789,116,8.6
菊次郎的夏天,197573,117,8.7
小森林 夏秋篇,146385,118,8.9
喜剧之王,344585,119,8.5
七武士,83327,120,9.2
借东西的小人阿莉埃蒂,233778,121,8.7
岁月神偷,325140,122,8.6
神偷奶爸,407894,123,8.5
杀人回忆,224159,124,8.7
真爱至上,334144,125,8.5
电锯惊魂,211753,126,8.7
海洋,103053,127,9.0
贫民窟的百万富翁,417278,128,8.5
谍影重重3,192318,129,8.7
喜宴,150731,130,8.8
东邪西毒,268505,131,8.6
记忆碎片,297213,132,8.5
雨人,221371,133,8.6
怪兽电力公司,259482,134,8.6
英雄本色,181431,135,8.7
黑天鹅,443017,136,8.5
疯狂原始人,393204,137,8.7
卢旺达饭店,128076,138,8.8
燃情岁月,155293,139,8.7
虎口脱险,112855,140,8.9
小森林 冬春篇,127386,141,8.9
7号房的礼物,190794,142,8.7
海边的曼彻斯特,210891,143,8.6
傲慢与偏见,323079,144,8.5
恋恋笔记本,302412,145,8.5
哈利·波特与死亡圣器(下),291877,146,8.7
荒蛮故事,153605,147,8.8
完美的世界,87285,148,9.0
萤火之森,170395,149,8.7
教父3,139775,150,8.8
纵横四海,157838,151,8.7
魂断蓝桥,136218,152,8.8
猜火车,260560,153,8.5
二十二,107431,154,8.8
玩具总动员3,202786,155,8.8
花样年华,262694,156,8.5
穿越时空的少女,195708,157,8.6
心迷宫,187020,158,8.6
雨中曲,97984,159,9.0
唐伯虎点秋香,355058,160,8.4
时空恋旅人,216482,161,8.6
超能陆战队,395721,162,8.6
蝙蝠侠：黑暗骑士崛起,311924,163,8.6
我是山姆,111179,164,8.8
人工智能,201309,165,8.6
浪潮,140271,166,8.7
冰川时代,287265,167,8.4
请以你的名字呼唤我,180153,168,8.8
朗读者,289989,169,8.5
香水,291206,170,8.4
罗生门,133424,171,8.7
爆裂鼓手,253131,172,8.6
血战钢锯岭,338028,173,8.7
追随,86247,174,8.9
一次别离,139384,175,8.7
未麻的部屋,105356,176,8.8
撞车,182038,177,8.6
可可西里,136041,178,8.7
战争之王,183177,179,8.5
恐怖游轮,346395,180,8.3
地球上的星星,90531,181,8.8
达拉斯买家俱乐部,178096,182,8.7
梦之安魂曲,117401,183,8.7
被解救的姜戈,272667,184,8.6
小萝莉的猴神大叔,164417,185,8.6
牯岭街少年杀人事件,113182,186,8.7
谍影重重,201529,187,8.5
魔女宅急便,206129,188,8.5
谍影重重2,167332,189,8.5
房间,166228,190,8.8
头脑特工队,241855,191,8.7
惊魂记,88217,192,8.9
忠犬八公物语,63935,193,9.0
碧海蓝天,110832,194,8.7
再次出发之纽约遇见你,180867,195,8.5
青蛇,233180,196,8.4
阿飞正传,194516,197,8.5
东京物语,53985,198,9.2
哪吒闹海,85213,199,8.9
秒速5厘米,314377,200,8.3
末路狂花,110280,201,8.7
模仿游戏,269096,202,8.6
海盗电台,170481,203,8.6
源代码,426438,204,8.3
终结者2：审判日,147939,205,8.6
绿里奇迹,111653,206,8.7
黑客帝国3：矩阵革命,164020,207,8.5
新龙门客栈,193461,208,8.5
