Academic_Reputation,Citations_per_Pape,Employer_Reputation,H_index_Citations,Overall_score,Ranking,Region,University_Name
87.7,100,53,94.3,84.5,23,United States,"University of California, Santa Barbara (UCSB)"
79.1,91.2,83.8,89.5,84.5,23,Canada,University of Toronto
83.5,90.7,81.2,83.3,84.4,25,Singapore,National University of Singapore (NUS)
84,81.1,88.3,84.1,84.3,26,Japan,Tokyo Institute of Technology
80.3,74.4,97.3,87,83.9,27,Russia,Lomonosov Moscow State University
84.3,90.8,71.4,88.7,83.9,27,United States,University of Illinois at Urbana-Champaign
80.7,92.3,80.1,85,83.8,29,France,Ecole Polytechnique
,,,,,30,,
81.9,86.8,82,83.2,83.2,31,South Korea,Seoul National University
82.7,90.7,72.6,87,83.1,32,Germany,Ruprecht-Karls-Universität Heidelberg
,,,,,33,,
80.2,82.3,88.3,81.5,82.5,34,Taiwan,National Taiwan University (NTU)
78.4,85.9,81,88.1,82.4,35,Germany,"KIT, Karlsruhe Institute of Technology"
82.1,80.5,82.1,85.3,82.4,35,Japan,Tohoku University
82.5,78.1,84.6,83.9,82.3,37,Japan,Osaka University
79.9,87.5,80.8,81.7,82,38,Singapore,"Nanyang Technological University, Singapore (NTU)"
79.7,85.2,74.5,90.3,81.9,39,Italy,Sapienza University of Rome
74.1,89.3,81.7,89.8,81.8,40,United States,University of Michigan
79.4,93.1,63.2,92.9,81.6,41,United States,"University of Maryland, College Park"
75.8,91.9,76.2,88.2,81.6,41,United States,University of Texas at Austin
75,90.8,77.7,86.8,81.1,43,Canada,University of British Columbia
81.6,87.7,74.5,79.5,81,44,Australia,澳大利亚国立大学The Australian National University
73.9,89.6,83,82.5,80.6,45,United States,Carnegie Mellon University
,,,,,45,,
75.6,88.9,79.2,83.2,80.5,47,Australia,墨尔本大学The University of Melbourne
75.3,90.4,74.7,86.7,80.5,47,Germany,Universität Hamburg
79.6,82.4,83.8,76.2,80.3,49,Netherlands,Delft University of Technology
77.8,94.4,69.1,82.2,80.3,49,Netherlands,University of Amsterdam
70,90.5,80.2,90.7,80.3,49,United States,University of Wisconsin-Madison
100,92.6,56.5,93.7,96.5,1,United States,University of Pittsburgh
96.4,92.8,74.7,96.6,95,2,United States,New York University (NYU)
93.5,95.5,72.3,96.6,93,3,United States,Rutgers University - New Brunswick
,,,,,4,,
88.7,91.2,100,94.7,90.1,5,United States,Harvard University
,,,,,6,,
85.6,95.7,81.7,95.7,87.4,7,United States,Princeton University
,,,,,8,,
85.3,88,81.7,91.6,86,9,United States,"University of California, Berkeley (UCB)"
87.7,82.2,61.4,82.8,85.3,10,Germany,Ludwig-Maximilians-Universität München
83.7,86.1,90.4,88.2,84.7,11,United States,Stanford University
82.1,93.3,84,92.7,84.4,12,United States,Yale University
83.8,85.7,73.4,89.4,84,13,Canada,University of Toronto
86,81.1,65.2,78,83.7,14,Germany,Humboldt-Universität zu Berlin
85.4,78.4,62.8,78,82.8,15,United States,University of Notre Dame
,,,,,16,,
,,,,,16,,
79.4,88,82.8,88.2,81.3,18,United States,Columbia University
78.3,91.5,92,86.9,81.2,19,United States,Massachusetts Institute of Technology (MIT)
75.4,94.9,99.3,94.7,80.5,20,Australia,澳大利亚国立大学The Australian National University
,,,,,21,,
79.1,77.5,79.2,76.2,78.7,22,United States,University of Chicago
74.5,91.8,76.5,91.6,78,23,United States,University of Michigan
76.8,84.4,53.3,86.9,77.4,24,Finland,University of Helsinki
74,86.8,82.6,89.4,77.3,25,Denmark,University of Copenhagen
79.9,66.6,72.1,67.4,76.9,26,France,Université Paris 1 Panthéon-Sorbonne
80,62.8,62.1,64.8,75.9,27,France,"Ecole normale supérieure, Paris"
73.7,91.8,47.9,88.2,75.7,28,United States,"University of North Carolina, Chapel Hill"
73.1,83.3,58.2,91.6,75.2,29,United States,City University of New York
74.6,83,63.6,76.2,75.1,30,Germany,Universität Frankfurt am Main
74.1,75.4,64.5,84.3,74.8,31,Belgium,KU Leuven
78.2,66.2,66.7,58.5,74.5,32,Belgium,Université catholique de Louvain (UCL)
71,84.1,63.1,89.4,73.8,33,Netherlands,University of Amsterdam
76.5,61.9,79,61.8,73.7,34,Hong Kong,The Chinese University of Hong Kong (CUHK)
,,,,,35,,
69.8,82.5,89.5,81.3,73.2,36,New Zealand,The University of Auckland
78.2,54.8,70.9,54.7,73.1,37,France,Université Paris-Sorbonne (Paris IV)
71.7,85.7,49.5,81.3,73,38,Switzerland,University of Geneva
73.8,68.6,78.2,64.8,72.6,39,Germany,Freie Universitaet Berlin
74.3,67.2,77,61.8,72.5,40,Mexico,Universidad Nacional Autónoma de México (UNAM)
74.1,60.3,89.9,61.8,72.3,41,China,Peking University
71.4,79.9,65.3,74.2,72.2,42,Germany,Ruprecht-Karls-Universität Heidelberg
76.2,54,74.1,58.5,72.1,43,China,Renmin (People's) University of China
69.5,87,51.9,86.9,72.1,43,Norway,University of Oslo
69.3,89.4,70.2,76.2,72,45,Canada,McGill University
69.7,84.2,68.1,76.2,71.7,46,United States,Boston University
71.9,73.6,60.5,74.2,71.7,46,Spain,Universitat de Barcelona
73.1,60.1,87.4,58.5,71.1,48,South Korea,Seoul National University
64.8,87.3,93.4,89.4,70.9,49,Australia,悉尼大学The University of Sydney
70.7,73.4,66.3,64.8,70.2,50,Spain,University of Navarra
72.1,70.2,52.4,64.8,70.2,50,Germany,Albert-Ludwigs-Universitaet Freiburg
93.7,92.3,100,95,94.3,1,United States,Harvard University
100,90.2,86.7,90.2,93.8,2,Australia,蒙纳士大学Monash University
,,,,,3,,
,,,,,4,,
94.3,92.8,57.3,94.4,90.3,5,United States,"University of California, San Francisco"
,,,,,6,,
,,,,,7,,
81.1,96.3,87.1,91.9,88.2,8,Singapore,National University of Singapore (NUS)
,,,,,9,,
82.3,93,78.8,93.5,87.4,10,Sweden,Karolinska Institutet
82.2,90.9,75.6,96.2,87.2,11,United States,Johns Hopkins University
85.3,87,87.8,88.8,86.9,12,Japan,The University of Tokyo
80.6,93.9,77.2,93.8,86.9,12,United States,"University of California, San Diego (UCSD)"
81.3,90.9,88.6,89.2,86.4,14,United States,Yale University
77.8,89.7,91.3,92.9,85.9,15,Canada,University of Toronto
,,,,,16,,
,,,,,17,,
78.2,90.3,85,88.4,84.5,18,Australia,悉尼大学The University of Sydney
76.3,92.6,72.9,93.2,84.3,19,United States,University of Michigan
77.2,88.2,84.4,91.2,84.2,20,South Korea,Seoul National University
78.5,92.4,53.1,95.6,83.7,21,United States,"University of North Carolina, Chapel Hill"
81.7,94.7,61.1,84.6,83.6,22,United States,Purdue University
75.6,91.6,70.8,93.2,83.5,23,Denmark,University of Copenhagen
82.6,93.4,51.8,87,83.3,24,Netherlands,Leiden University
80.9,90.3,76.7,82.5,83.2,25,Switzerland,ETH Zurich - Swiss Federal Institute of Technology
74.3,92,76.9,91.2,83.2,25,Australia,昆士兰大学The University of Queensland
80.4,92.4,63.3,86.2,83.1,27,Sweden,Uppsala University
79.1,89.7,67.5,88.1,82.8,28,Belgium,KU Leuven
78.1,84.6,79.4,89.5,82.7,29,China,Peking University
75.2,92.7,81.8,85,82.7,29,Canada,University of British Columbia
75.9,90.9,75,85,81.8,31,Switzerland,University of Geneva
74.7,90.6,67.9,88.8,81.5,32,United States,University of Minnesota
67.6,93.4,76.8,93.8,81.5,32,United States,University of Washington
74.1,89.8,82.5,84.2,81.4,34,Canada,McGill University
77.9,86.2,82.3,80.3,81,35,Japan,Kyoto University
73.7,91.2,80.5,81.6,80.7,36,Hong Kong,The Chinese University of Hong Kong (CUHK)
69.3,96.4,37.4,100,80.6,37,Netherlands,Utrecht University
78.7,89.3,64.3,81.2,80.5,38,United States,"University of Illinois, Chicago (UIC)"
73.1,86.9,88.5,82.1,80.3,39,Taiwan,National Taiwan University (NTU)
73.5,88.8,71.8,85.8,80.2,40,Germany,Ludwig-Maximilians-Universität München
69.1,89.5,85.7,85.4,79.9,41,Australia,墨尔本大学The University of Melbourne
72.9,90.7,72.3,82.5,79.7,42,United States,University of Southern California
67.2,91.1,73,87.7,78.9,43,United States,Duke University
64.3,90.9,80,89.5,78.8,44,United States,University of Pennsylvania
66.3,90.1,82,85.4,78.6,45,United States,Columbia University
65.6,90,73.8,88.8,78.3,46,Italy,University of Milan
69,87.7,76.9,83.8,78.2,47,Canada,Université de Montréal
64.6,93.3,71.3,87.7,78.2,47,Canada,University of Alberta
70.2,87.9,83.1,79.4,78.2,47,Hong Kong,The University of Hong Kong
66,91.1,74.4,85.8,78.1,50,Germany,Freie Universitaet Berlin
,,,,,1,,
89.3,96.2,100,98.7,93.6,2,United States,Harvard University
85.5,100,93.7,100,92.1,3,United States,Stanford University
,,,,,4,,
,,,,,5,,
88.4,89.1,89.2,88.2,88.6,6,Australia,墨尔本大学The University of Melbourne
85.1,91.4,87.2,88.8,87.3,7,Hong Kong,The University of Hong Kong
83.7,93,88.8,88.8,87.1,8,United States,"University of California, Berkeley (UCB)"
87,89.4,71.3,87.2,86,9,Hong Kong,The Education University of Hong Kong
78.9,95,85.6,92.5,85.5,10,United States,"University of California, Los Angeles (UCLA)"
81.9,90.1,79.6,90.7,85.1,11,Canada,University of Toronto
81.3,89,89.8,86.7,84.8,12,Australia,悉尼大学The University of Sydney
80.4,92.7,80.1,89.7,84.7,13,United States,Columbia University
77.7,89.6,90,90.7,83.9,14,Australia,蒙纳士大学Monash University
74.5,91.5,85.6,93.7,82.9,15,Australia,昆士兰大学The University of Queensland
78.8,90.3,76.6,87.7,82.7,16,Singapore,"Nanyang Technological University, Singapore (NTU)"
77.6,86.8,86.2,84.4,81.7,17,New Zealand,The University of Auckland
75.1,91.4,77.8,89.7,81.6,18,Canada,University of British Columbia
76.2,91.9,65.6,92,81.4,19,United States,University of Wisconsin-Madison
69.8,94.7,78.6,95.7,80.8,20,United States,University of Michigan
83.3,78.5,93.8,65.8,79.9,21,Chile,Pontificia Universidad Católica de Chile (UC)
73.9,93.2,70.6,85,79.7,22,United States,Johns Hopkins University
71.1,94,76.8,87.7,79.6,23,Netherlands,University of Amsterdam
,,,,,24,,
72.7,93.1,56.6,92.5,79.1,24,United States,Michigan State University
,,,,,24,,
,,,,,27,,
71.2,90.5,61.3,91.1,78.1,28,United States,Pennsylvania State University
69.7,91.2,64,92.9,78.1,28,United States,University of Texas at Austin
71.7,87.4,74.7,85,77.8,30,Australia,迪肯大学Deakin University
73.1,89,63.1,85.6,77.8,30,United States,University of Illinois at Urbana-Champaign
72.8,87.5,75.8,81.3,77.7,32,Hong Kong,The Chinese University of Hong Kong (CUHK)
79.8,81.3,72.1,70.1,77.4,33,China,Beijing Normal University
71.2,94.6,59,85,77.4,33,United States,Boston College
71.6,85.3,86,79.3,77.3,35,Australia,The University of New South Wales (UNSW Sydney)
69.3,89.3,78.8,83.8,77.2,36,Canada,McGill University
71.4,95.4,47.7,87.2,77,37,Netherlands,University of Twente
72.3,85.5,76.3,79.3,76.7,38,Finland,University of Helsinki
,,,,,39,,
69.7,86.1,90.5,77.1,76.5,40,Australia,澳大利亚国立大学The Australian National University
73.5,84.8,85.7,70.1,76.3,41,Chile,Universidad de Chile
69.8,88.3,68.2,84.4,76.3,41,Canada,University of Alberta
,,,,,41,,
67.2,89.6,68.2,88.2,76,44,Belgium,KU Leuven
69.3,92,49,90.2,76,44,United States,Vanderbilt University
64,93.4,79,86.7,75.9,46,United States,New York University (NYU)
,,,,,46,,
66,93.4,79.1,81.3,75.9,46,United States,University of Chicago
70.2,85.3,72.5,79.3,75.3,49,Spain,Universitat de Barcelona
83.5,65,89.5,57.6,75.2,50,Mexico,Universidad Nacional Autónoma de México (UNAM)
60.9,94.4,77,90.7,75.2,50,United States,University of Pennsylvania
62.8,93.3,67.8,92,75.2,50,United States,University of Washington
100,,77.6,,97.8,1,United States,The Juilliard School
,,,,,2,,
,,,,,3,,
91.8,,90.5,,91.7,4,Austria,University of Music and Performing Arts Vienna
91.7,,77.6,,90.3,5,United Kingdom,Royal Conservatoire of Scotland (Formerly Royal Scottish Academy of Music and Drama)
94.5,,37.3,,88.8,6,Finland,Sibelius Academy
94.1,,37.6,,88.5,7,France,Conservatoire national supérieur de musique et de danse de Paris (CNSMDP)
89.3,,77.7,,88.1,8,United States,Curtis Institute of Music
87.4,,89,,87.6,9,United States,New York University (NYU)
83.5,,92,,84.4,10,United States,Harvard University
88.6,,44.8,,84.2,11,Sweden,Royal College of Music in Stockholm
84.9,,76.6,,84.1,12,United States,Northwestern University
,,,,,13,,
,,,,,14,,
,,,,,14,,
83,,71.3,,81.8,16,United States,Indiana University Bloomington
86.4,,37.4,,81.5,17,Indonesia,Indonesia Institute of the Arts Yogyakarta
81.6,,79.2,,81.4,18,United States,Yale University
81.1,,80.5,,81,19,United States,"University of California, Berkeley (UCB)"
79.4,,83.1,,79.8,20,United States,Stanford University
80,,69.6,,79,21,United States,"University of California, Los Angeles (UCLA)"
76.3,,99.5,,78.6,22,Australia,蒙纳士大学Monash University
,,,,,23,,
74.8,,100,,77.3,24,Australia,墨尔本大学The University of Melbourne
77.9,,70.9,,77.2,25,United States,Columbia University
,,,,,26,,
77.2,,73.5,,76.8,27,Singapore,National University of Singapore (NUS)
77.4,,71.1,,76.8,27,Japan,The University of Tokyo
75.5,,86.2,,76.6,29,United States,Massachusetts Institute of Technology (MIT)
80.7,,37.3,,76.4,30,Italy,Conservatorio Santa Cecilia
78.5,,57.9,,76.4,30,United States,Princeton University
80.5,,37.6,,76.2,32,United Kingdom,Central School of Speech & Drama
77.3,,64.9,,76.1,33,United States,University of Rochester
73.6,,97.2,,76,34,Australia,澳大利亚国立大学The Australian National University
79.7,,37.3,,75.5,35,Norway,Norwegian Academy of Music
,,,,,36,,
79.4,,37.8,,75.2,37,Denmark,"Royal Academy of Music, Aarhus"
74.7,,79.9,,75.2,37,United States,University of Chicago
77.9,,49.4,,75.1,39,United States,City University of New York
,,,,,40,,
78.1,,44.6,,74.8,40,Denmark,The Royal Danish Academy of Music
75.6,,64.3,,74.5,42,Australia,格里菲斯大学Griffith University
75.5,,65.5,,74.5,42,Canada,University of British Columbia
74.1,,75.3,,74.2,44,Hong Kong,The University of Hong Kong
76.8,,46.1,,73.7,45,United States,University of Illinois at Urbana-Champaign
,,,,,46,,
74.1,,63.1,,73,47,Canada,University of Toronto
76.6,,37.3,,72.7,48,France,Conservatoire national supérieur de musique et de danse de Lyon
74.8,,45.4,,71.9,49,Netherlands,University of Amsterdam
75.6,,37.3,,71.8,50,Germany,Hochschule für Musik und Theater Hamburg
70.3,,84.9,,71.8,50,Australia,西澳大学The University of Western Australia
,,,,,1,,
,,,,,2,,
96.4,95.9,100,100,97.1,3,United States,Harvard University
,,,,,4,,
99,100,80.2,93.3,96.7,5,United States,"University of California, Berkeley (UCB)"
95.5,97.6,72.6,92.3,93.1,6,United States,University of Chicago
93.8,83.9,86.3,80.7,90.8,7,Australia,澳大利亚国立大学The Australian National University
91.1,94.7,78.3,90,90.1,8,Canada,University of Toronto
89.9,90.5,94.2,86.3,90,9,United States,Stanford University
,,,,,10,,
88.7,94.6,78,96.4,89,11,United States,University of Michigan
89.3,89.7,87.5,83.7,88.6,12,United States,"University of California, Los Angeles (UCLA)"
88.2,92.6,86.3,86.3,88.3,13,United States,Columbia University
85.2,90.8,80.8,86.3,85.4,14,Netherlands,University of Amsterdam
84.1,89.4,83.3,87.6,84.9,15,United States,Yale University
,,,,,16,,
84.4,83.6,83.3,75.8,83.4,17,Denmark,University of Copenhagen
81.9,82.3,88.9,83.7,82.8,18,United States,Princeton University
,,,,,18,,
80.2,94,78.4,91.2,82.5,20,United States,New York University (NYU)
86.7,63,88.1,60.3,81.8,21,Singapore,National University of Singapore (NUS)
,,,,,21,,
82.3,80.5,84,74,81.5,23,Australia,墨尔本大学The University of Melbourne
79.7,88.8,78,83.7,80.8,24,United States,University of Pennsylvania
81.4,68.2,92.3,74,80.4,25,Japan,The University of Tokyo
77,97.3,72.9,92.3,80.2,26,United States,Cornell University
79.9,86.6,65.7,79.2,79.1,27,Canada,University of British Columbia
78.8,74.5,88.6,74,78.9,28,Australia,悉尼大学The University of Sydney
,,,,,29,,
77.6,89.2,62.5,87.6,78.3,30,United States,Duke University
77.8,90.8,64.7,82.2,78.2,31,United States,University of Wisconsin-Madison
85.3,51.6,77.2,54.2,78,32,Mexico,Universidad Nacional Autónoma de México (UNAM)
78.1,82.7,68.8,82.2,78,32,Norway,University of Oslo
80.5,61.6,84.4,65.5,77.5,34,Japan,Kyoto University
76.9,75.5,90.5,70,77.4,35,Denmark,Aarhus University
77.1,90.4,66.3,77.5,77.4,35,United States,University of Texas at Austin
81.9,67.9,72.6,54.2,76.8,37,Germany,Freie Universitaet Berlin
81,59.8,75.4,63,76.5,38,Argentina,Universidad de Buenos Aires (UBA)
78.3,68.2,77.8,70,76.4,39,Netherlands,Leiden University
80.2,69.8,66.7,65.5,76.3,40,Canada,McGill University
73.7,77.2,86,82.2,76.1,41,New Zealand,The University of Auckland
,,,,,42,,
74.2,74.6,81.5,75.8,75.1,43,Finland,University of Helsinki
80.4,56.5,72.6,57.4,74.9,44,Germany,Humboldt-Universität zu Berlin
72.2,86.6,72.4,80.7,74.5,45,United States,Indiana University Bloomington
77,67,72,65.5,74.4,46,Brazil,Universidade de São Paulo
75.3,71.6,69.6,65.5,73.4,47,Sweden,Stockholm University
72.5,77.5,66.7,74,72.6,48,United States,Johns Hopkins University
68.6,87.3,65.7,86.3,72,49,United States,"University of North Carolina, Chapel Hill"
73.8,70.8,61.2,70,71.9,50,Brazil,Universidade Federal do Rio de Janeiro
69.8,81.8,69.2,79.2,71.9,50,United States,University of Illinois at Urbana-Champaign
100,94.4,100,100,98.6,1,United States,Harvard University
,,,,,2,,
,,,,,3,,
92.1,92.8,93.9,92.8,92.6,4,United States,Stanford University
91,92.7,78.8,99.2,92.3,5,United States,Johns Hopkins University
99,88.9,78.2,90.4,92.2,6,Sweden,Karolinska Institutet
88.2,91.7,85.8,92.9,90,7,United States,"University of California, Los Angeles (UCLA)"
88.3,91,88.2,88.4,89,8,United States,Yale University
86.4,97.5,96,80,88.5,9,United States,Massachusetts Institute of Technology (MIT)
,,,,,10,,
,,,,,11,,
86.2,94.7,57.8,95,87.7,11,United States,"University of California, San Francisco"
82.8,89.1,84.3,95.6,87.7,11,Canada,University of Toronto
80.5,93.2,83.3,92.6,87,14,United States,Columbia University
,,,,,15,,
79.1,92.5,78.5,94.5,86.2,16,United States,University of Pennsylvania
85.5,87.2,88.1,84.8,86,17,Australia,墨尔本大学The University of Melbourne
82.9,88.3,85.7,87.8,85.8,18,Australia,悉尼大学The University of Sydney
80.1,92.7,75.7,90.8,85.5,19,United States,"University of California, San Diego (UCSD)"
77.5,93.7,75.4,93.3,85.3,20,United States,Duke University
,,,,,21,,
81.5,88.7,82.2,83.8,83.9,21,Canada,McGill University
,,,,,21,,
76.1,91.5,69.4,94.2,83.8,24,United States,University of Washington
87.1,80.5,88.5,77,83.1,25,Japan,The University of Tokyo
77.4,91.5,79.4,84.8,83,26,United States,University of Chicago
75.4,90.2,72,90.9,82.6,27,United States,University of Michigan
76.8,88.5,71,89.1,82.2,28,Denmark,University of Copenhagen
80.5,85.9,83,80.6,82.1,29,Australia,蒙纳士大学Monash University
77.5,88.3,78.7,84.5,82.1,29,Canada,University of British Columbia
85,82.9,88.5,73.4,81.9,31,Singapore,National University of Singapore (NUS)
74.5,90,79,85.6,81.6,32,United States,Cornell University
76.5,89.7,72,85.2,81.5,33,United States,New York University (NYU)
75.3,91.5,65.4,86.4,81.1,34,Netherlands,University of Amsterdam
84.4,83.6,80.8,73.3,81.1,34,Hong Kong,The University of Hong Kong
74,90.2,63.9,89.7,81,36,United States,University of Pittsburgh
73,93.1,68.2,85.9,80.8,37,Canada,McMaster University
71.3,93.7,58.2,90.2,80.3,38,United States,Washington University in St. Louis
73.7,91.6,66.6,84.4,80.1,39,Netherlands,Erasmus University Rotterdam
,,,,,40,,
,,,,,41,,
78,82.1,82.3,78.6,79.6,42,South Korea,Seoul National University
76.4,90.7,52.3,83.4,79.3,43,United States,Baylor College of Medicine
71.7,87.3,79.5,82.6,79.1,44,Switzerland,University of Zurich
73.5,87.6,71.3,82.3,79,45,Germany,Ruprecht-Karls-Universität Heidelberg
73.6,86.2,74.9,81.7,78.9,46,Germany,Ludwig-Maximilians-Universität München
80.4,85.8,78.9,69.5,78.9,46,Hong Kong,The Chinese University of Hong Kong (CUHK)
86.7,94.5,27.7,70.4,78.7,48,United States,Mayo Medical School
68.2,90.2,70.2,86.7,78.5,49,United States,Boston University
72.5,84.5,79.7,79.3,77.9,50,Australia,昆士兰大学The University of Queensland
100,95.6,99.8,97,98.5,1,United States,Massachusetts Institute of Technology (MIT)
96.7,98.4,99.9,96,97.5,2,United States,Harvard University
95.6,96,97,100,96.8,3,United States,Stanford University
,,,,,4,,
,,,,,5,,
95.6,97.2,89,95.1,94.5,6,United States,Princeton University
96.4,94.6,90.9,93.7,94.4,7,United States,"University of California, Berkeley (UCB)"
90.9,95.9,81.3,94.1,90.6,8,Switzerland,ETH Zurich - Swiss Federal Institute of Technology
89.1,93.5,85.5,92.1,89.9,9,United States,"University of California, Los Angeles (UCLA)"
,,,,,10,,
90.8,94.1,78.1,86,88,11,United States,New York University (NYU)
89.4,93.5,83.9,82.2,87.7,12,United States,California Institute of Technology (Caltech)
84.6,90.5,88.1,87.8,87.1,13,Singapore,National University of Singapore (NUS)
82.5,92.9,89.4,87.8,87,14,United States,Columbia University
85.3,92.4,87.5,84.1,86.9,15,United States,Yale University
85.4,91.3,86.6,84.8,86.7,16,United States,Carnegie Mellon University
88.6,80.1,95.8,79.4,86.5,17,Japan,The University of Tokyo
86.1,93,83.5,82.8,86.3,18,United States,University of Chicago
82.5,92.7,84.5,85.4,85.5,19,Canada,University of Toronto
84.1,84.6,90,83.5,85.3,20,China,Peking University
83.3,87.8,81.8,90,85.2,21,United States,University of Michigan
80.3,93.7,88.3,80.8,84.7,22,Australia,澳大利亚国立大学The Australian National University
83.5,88.9,78.2,88.9,84.6,23,United States,Georgia Institute of Technology
81.7,92.4,79.7,85.4,84.2,24,Switzerland,Ecole Polytechnique Fédérale de Lausanne (EPFL)
79,91.7,85.1,84.8,83.9,25,United States,University of Pennsylvania
80.8,79.6,89.3,88.3,83.8,26,China,Tsinghua University
79.9,89.9,80.2,88.3,83.6,27,Canada,University of British Columbia
78.9,88.5,93.5,77.1,83.4,28,Hong Kong,The University of Hong Kong
81.4,91.3,84.7,77.1,83.2,29,Hong Kong,The Chinese University of Hong Kong (CUHK)
78.5,94.5,72.8,91.6,83.2,29,United States,University of Texas at Austin
85.4,85.9,81.6,77.1,83.1,31,France,Ecole Polytechnique
83.7,81.2,84.8,79.4,82.6,32,Japan,Kyoto University
86.4,92.1,69.7,77.9,82.5,33,France,"Ecole normale supérieure, Paris"
,,,,,33,,
74.9,100,68.4,93.7,82.4,35,United States,"University of California, San Diego (UCSD)"
80,84.9,93.9,71.3,82,36,Australia,墨尔本大学The University of Melbourne
82.2,87.3,78.5,79.4,81.9,37,United States,Cornell University
89.5,61.7,99.4,67.5,81.5,38,Russia,Lomonosov Moscow State University
77.5,84.6,83.3,84.1,81.4,39,Canada,University of Waterloo
82.1,92.4,70.8,78.6,81.2,40,United States,Brown University
78.1,87.8,87.4,73.9,81.1,41,Hong Kong,The Hong Kong University of Science and Technology
85.8,91.6,60.5,80.1,80.8,42,Germany,Rheinische Friedrich-Wilhelms-Universität Bonn
75.7,86.5,84.8,79.4,80.4,43,Singapore,"Nanyang Technological University, Singapore (NTU)"
77.9,82.2,86.6,76.3,80.2,44,Australia,The University of New South Wales (UNSW Sydney)
75.1,91.2,79.9,78.6,80,45,Hong Kong,City University of Hong Kong
76.1,92.3,83.5,72.2,80,45,New Zealand,The University of Auckland
78.1,81.7,89.9,72.2,80,45,Australia,悉尼大学The University of Sydney
82.6,83.2,73.3,77.1,79.8,48,Germany,Technische Universität Berlin (TU Berlin)
71.7,94.7,73.6,86.6,79.7,49,United States,University of Wisconsin-Madison
76.1,80.8,92.7,72.2,79.6,50,Taiwan,National Taiwan University (NTU)
80,81.6,79.3,77.1,79.6,50,Germany,Technical University of Munich
,,,,,50,,
100,94.4,100,94.2,97.2,1,United States,Massachusetts Institute of Technology (MIT)
93.7,96.7,95.3,94.9,94.9,2,United States,Stanford University
87.5,96.8,77.6,100,92,3,Singapore,"Nanyang Technological University, Singapore (NTU)"
94.7,92.7,89.5,87.2,91.8,4,United States,"University of California, Berkeley (UCB)"
91.5,94.9,97.8,85,91.4,5,United States,Harvard University
,,,,,6,,
,,,,,7,,
86.2,93.8,87.7,93.5,90.1,8,Singapore,National University of Singapore (NUS)
90.2,85.4,87.6,93.5,89.6,9,China,Tsinghua University
90.8,91.8,83.3,87,89.4,10,Switzerland,Ecole Polytechnique Fédérale de Lausanne (EPFL)
,,,,,11,,
91,93.8,70.7,86.8,88.6,11,United States,Northwestern University
87.6,90.8,76.3,89.7,87.8,13,United States,Georgia Institute of Technology
84.8,90.2,89.3,89.6,87.8,13,South Korea,KAIST - Korea Advanced Institute of Science & Technology
89.8,87.6,86.9,82.3,87.1,15,Switzerland,ETH Zurich - Swiss Federal Institute of Technology
91.1,81.9,91.3,84.1,87.1,15,Japan,The University of Tokyo
91.2,87.8,88.1,77.3,86.6,17,United States,California Institute of Technology (Caltech)
81.5,90.5,83.4,91.7,86.5,18,China,Peking University
84.8,88,88.7,86.6,86.4,19,South Korea,Seoul National University
88,88.4,78.5,82.8,85.9,20,United States,University of Illinois at Urbana-Champaign
80.2,94.9,84.7,84.5,85.4,21,United States,"University of California, Los Angeles (UCLA)"
84.6,90.9,78.2,83,85.1,22,Hong Kong,The Hong Kong University of Science and Technology
87.7,79.1,89.8,79.4,83.7,23,Japan,Tohoku University
89.7,83.5,71,78.6,83.5,24,Netherlands,Delft University of Technology
81.1,84.1,79.9,87.9,83.4,25,China,Shanghai Jiao Tong University
74.7,93.4,77.8,89.4,83.4,25,United States,University of Texas at Austin
91.2,77.9,86.1,74.9,83.3,27,Japan,Tokyo Institute of Technology
90.4,79.7,86.5,73.3,83.1,28,Germany,RWTH Aachen University
85.6,81,90.8,77.8,83,29,Japan,Kyoto University
71.2,94.1,76.8,92.2,82.7,30,China,Fudan University
82.7,89.2,82.7,75.2,82.5,31,United States,Carnegie Mellon University
,,,,,31,,
78.1,89.8,85.2,80.9,82.4,33,United States,Cornell University
80.7,86.2,83.7,80.2,82.3,34,United States,University of Michigan
76.4,89.3,80,85,82.1,35,South Korea,Pohang University of Science And Technology (POSTECH)
79.5,86.6,81.1,81.9,82,36,United States,Pennsylvania State University
75.8,86,90.6,83.5,81.8,37,Taiwan,National Taiwan University (NTU)
80.2,86.9,76.5,78.9,81.2,38,Australia,The University of New South Wales (UNSW Sydney)
80.7,94.9,44.6,81.6,80.9,39,United States,"University of California, Santa Barbara (UCSB)"
70.7,100,58.9,86,80.7,40,United States,Rice University
68.3,91.4,72.2,91.7,80.3,41,China,University of Science and Technology of China
69.3,91,81.3,86.2,80.2,42,South Korea,Sungkyunkwan University (SKKU)
75.2,93,73.7,78.1,80.2,42,United States,University of Pennsylvania
84.3,82.3,64,77.5,80.1,44,Sweden,KTH Royal Institute of Technology
82.3,76.6,86.8,76.1,79.8,45,Japan,Osaka University
80.7,82.8,83.2,73,79.6,46,Canada,McGill University
74.4,85.9,83.1,79.9,79.5,47,United States,Purdue University
75.8,88.3,69.5,79.7,79.3,48,Australia,蒙纳士大学Monash University
72.1,90.3,75.6,81.4,79.3,48,Australia,昆士兰大学The University of Queensland
79.8,83.6,73.2,76.1,79.2,50,Belgium,KU Leuven
100,98.4,93.9,99.2,99.3,1,United States,Massachusetts Institute of Technology (MIT)
