Academic_Reputation,Citations_per_Pape,Employer_Reputation,H_index_Citations,Overall_score,Ranking,Region,University_Name
90.3,92.3,83.1,83.6,87.4,13,United States,Princeton University
82.7,91.7,87.8,91,86.8,14,South Korea,KAIST - Korea Advanced Institute of Science & Technology
81.1,95.8,83.5,99.8,86.8,14,Singapore,"Nanyang Technological University, Singapore (NTU)"
80.9,87,91.1,91,86.4,16,South Korea,Seoul National University
92.3,91.6,72.7,91,86.1,17,United States,University of Wisconsin-Madison
90.4,87,79.7,85.1,85.9,18,Netherlands,Delft University of Technology
83.1,94,85.8,84.3,85.7,19,United States,"University of California, Los Angeles (UCLA)"
82.9,84.3,90.5,81.2,85.1,20,Japan,Tokyo Institute of Technology
100,86.7,64.3,82,84.6,21,United States,University of Minnesota
,,,,,22,,
82.3,93.8,78.2,91,84.1,22,United States,University of Texas at Austin
78.5,87.3,90.2,82.8,84,24,Australia,蒙纳士大学Monash University
81.1,88.8,85.7,83.6,84,24,Australia,昆士兰大学The University of Queensland
81.9,90.8,84,81.2,83.8,26,United States,Yale University
80.3,86.4,89.8,73.1,83,27,Australia,墨尔本大学The University of Melbourne
77.2,98.1,75.5,96.5,82.7,28,United States,Northwestern University
83.1,86.3,79.5,84.7,82.7,28,United States,Purdue University
79.8,90,84.3,78.1,82.4,30,Hong Kong,The Hong Kong University of Science and Technology
79.5,93.4,79,84.7,82.2,31,United States,Cornell University
76.1,91.2,81,90.7,82,32,United States,Georgia Institute of Technology
,,,,,33,,
74.3,88,85.2,89.1,81.8,34,Japan,Osaka University
88.2,94,63.1,89.1,81.7,35,United States,University of Delaware
73.2,86.2,91.5,79.9,81.6,36,Australia,The University of New South Wales (UNSW Sydney)
77,85.4,85.4,81.2,81.4,37,Taiwan,National Taiwan University (NTU)
76.3,97.4,75.7,88.5,81.1,38,Switzerland,Ecole Polytechnique Fédérale de Lausanne (EPFL)
73.7,89.8,83.4,85.1,80.7,39,Canada,University of Toronto
72.6,91,81.7,85.8,80.1,40,United States,University of Michigan
69.5,85.3,82,96,79.6,41,China,Zhejiang University
73.2,82.6,88.3,75.7,79.5,42,Malaysia,Universiti Malaya (UM)
68.9,85.4,88.7,82,79.3,43,South Korea,Korea University
79.8,85.1,79.9,70.9,79.3,43,Canada,McGill University
68.9,85.3,85.7,88.5,79.3,43,China,Shanghai Jiao Tong University
76.5,87,76.7,81.6,78.9,46,Germany,RWTH Aachen University
68.6,85.6,87.4,82.8,78.9,46,Japan,Tohoku University
83.8,87.1,65.7,83.6,78.8,48,Denmark,Technical University of Denmark
71.2,89.7,82.4,80.3,78.7,49,South Korea,Pohang University of Science And Technology (POSTECH)
70.5,87.9,87.5,73.7,78.7,49,Hong Kong,The University of Hong Kong
100,96.1,99.4,95.3,98.2,1,United States,Massachusetts Institute of Technology (MIT)
,,,,,2,,
96.4,99.1,90.5,96.4,95.8,3,United States,"University of California, Berkeley (UCB)"
93.5,98.8,95.1,95.4,95.3,4,United States,Stanford University
97.9,92.7,99.8,86.1,94.9,5,United States,Harvard University
,,,,,6,,
90.3,94.9,91.3,96.1,92.6,7,Singapore,National University of Singapore (NUS)
91.7,84.7,97.4,89,90.9,8,Japan,The University of Tokyo
93.3,92.5,88.8,83.5,90.3,9,United States,California Institute of Technology (Caltech)
88.2,98.2,87.2,89.2,90.2,10,United States,"University of California, Los Angeles (UCLA)"
85.4,97.3,81.3,100,89.9,11,Singapore,"Nanyang Technological University, Singapore (NTU)"
92.1,88.4,88.4,88,89.8,12,Switzerland,ETH Zurich - Swiss Federal Institute of Technology
,,,,,13,,
85.3,89.4,89.6,93.5,88.6,14,China,Peking University
89.8,98.8,69.2,94.3,88.4,15,United States,Northwestern University
86,84.2,93.1,88.6,87.6,16,Japan,Kyoto University
